name  state  reads_raw  reads_passed_filter  refseq_mapped_reads  refseq_unmapped_reads  clusters_total  clusters_hidepth  hetero_est  error_est  reads_consens  loci_in_assembly
P2_A01_RUM_S2_SP           7    5675418              5674003              1164757                4509246           25080             10847    0.004799   0.000699          10170              5952
P2_A02_RUM_S2_SP           7    4279986              4278671               899067                3379604           24043             10484    0.004707   0.000742           9803              5801
P2_A03_RUM_S3_SP           7    1930786              1928497               406913                1521584           22369             10448    0.004918   0.000786           9685              5380
P2_A04_RUM_S3_SP           7    2488657              2487983               543231                1944752           19382              8238    0.003924   0.000759           7825              5287
P2_A05_RUM_S2_SP           7    6211090              6208940              1264091                4944849           25767             13864    0.004038   0.000689          13102              5988
P2_A06_RUM_S2_SP           7    5499573              5498455              1133633                4364822           23201             10209    0.004129   0.000687           9647              5825
P2_A07_ROW_S1_SP           7    4244730              4242592               912153                3330439           25172             12268    0.004428   0.000745          11573              6077
P2_A08_ROW_S1_SP           7     906626               905740               196093                 709647           14894              5594    0.003863   0.000765           5339              4078
P2_A09_ROW_S1B_SP          7    2190324              2189643               457637                1732006           19290              8334    0.003908   0.000765           7932              5418
P2_A10_ROW_S1B_SP          7    2289260              2285845               468736                1817109           20142              8450    0.004351   0.000771           7925              5088
P2_A11_ROW_S1B_SP          7    4460981              4457349               951993                3505356           28233             17238    0.004017   0.000715          16336              6268
P2_A12_BEL_LBE_SP          7    1138198              1138022               208103                 929919           10751              5619    0.003132   0.000729           5436              4235
P2_B01_RUM_S2_SP           7    2912062              2911382               578660                2332722           19190              7734    0.003900   0.000754           7369              5207
P2_B02_RUM_S2_SP           7    5650704              5649440              1196776                4452664           24561             11140    0.004368   0.000700          10467              5914
P2_B03_RUM_S3_SP           7    5053564              5051265              1054822                3996443           26018             13744    0.004265   0.000708          12941              6010
P2_B04_RUM_S3_SP           7    3178053              3176927               669208                2507719           22461             10126    0.004356   0.000751           9558              5661
P2_B05_RUM_S2_SP           7    3647093              3644801               760207                2884594           25267             13902    0.004404   0.000692          13069              6040
P2_B06_RUM_S2_SP           7    2240290              2239832               394503                1845329           17360              7378    0.003932   0.000775           7033              5084
P2_B07_ROW_S1_SP           7    5197691              5195788              1113569                4082219           24407             12218    0.003836   0.000729          11617              6001
P2_B08_ROW_S1_SP           7    6911896              6909590              1467600                5441990           28954             15538    0.004467   0.000744          14634              6253
P2_B09_ROW_S1B_SP          7    3869308              3867661               805759                3061902           25153             13793    0.004181   0.000822          13032              5986
P2_B10_ROW_S1B_SP          7    2540626              2538866               531077                2007789           19250              7693    0.003898   0.000733           7283              5125
P2_B11_ROW_S1B_SP          7    1199309              1198381               251615                 946766           16745              6615    0.004104   0.000785           6298              4740
P2_B12_BEL_LBE_SP          7    2174621              2174163               455760                1718403           17294              7095    0.004241   0.000931           6797              4882
P2_C01_RUM_S2_SP           7    3119900              3119358               658590                2460768           19574              8213    0.004188   0.000725           7824              5384
P2_C03_RUM_S3_SP           7    2552808              2550186               540799                2009387           23470             14173    0.003794   0.000723          13452              5868
P2_C04_RUM_S3_SP           7    4290328              4288328               820172                3468156           23325             11552    0.004306   0.000753          10870              5730
P2_C05_RUM_S2_SP           7    4547557              4546497               869500                3676997           23100             10413    0.004061   0.000748           9847              5777
P2_C07_ROW_S1_SP           7    4565882              4563819               986860                3576959           25132             13523    0.004343   0.000690          12756              6027
P2_C08_ROW_S1_SP           7    1073971              1071967               228871                 843096           21058              9261    0.005170   0.000837           8521              4711
P2_C09_ROW_S1B_SP          7    4698602              4697240               976267                3720973           28326             14357    0.004217   0.000742          13552              6248
P2_C10_ROW_S1B_SP          7     848876               848276               177084                 671192           15656              5620    0.003872   0.000825           5352              4131
P2_C11_ROW_S1B_SP          7    4032977              4031667               837549                3194118           21253              9223    0.003955   0.000716           8753              5607
P2_C12_BEL_LBE_SP          7    1139388              1139150               212359                 926791           13923              5987    0.003890   0.000951           5757              4392
P2_D01_RUM_S2_SP           7    3469691              3468955               717862                2751093           20795              8604    0.004280   0.000715           8170              5473
P2_D02_RUM_S3_SP           7    4542274              4540977               837498                3703479           21877              9369    0.004352   0.000699           8860              5499
P2_D03_RUM_S3_SP           7    1852888              1849169               382894                1466275           22672             13248    0.004148   0.000769          12539              5552
P2_D04_RUM_S3_SP           7    3490436              3488259               748036                2740223           25209             13438    0.004414   0.000744          12636              6058
P2_D05_RUM_S2_SP           7    4227056              4224552               840240                3384312           26010             15201    0.004133   0.000700          14408              6067
P2_D06_ROW_S1_SP           7    4771255              4770221              1012288                3757933           24633             11630    0.004557   0.000698          10944              6003
P2_D07_ROW_S1_SP           7    6264944              6261956              1296779                4965177           27582             17176    0.003952   0.000703          16348              6228
P2_D08_ROW_S1_SP           7    1144904              1144648               251081                 893567           13751              6163    0.003560   0.000737           5919              4594
P2_D09_ROW_S1B_SP          7    4190997              4189827               892568                3297259           23983              9708    0.004867   0.000731           9041              5672
P2_D10_ROW_S1B_SP          7     847025               844480               167941                 676539           20196              8352    0.005118   0.000949           7640              4109
