"name" "state" "reads_raw" "reads_passed_filter" "refseq_mapped_reads" "refseq_unmapped_reads" "clusters_total" "clusters_hidepth" "hetero_est" "error_est" "reads_consens" "loci_in_assembly" "sites" "site_simple"
"P1-Nutr_A01_ROW_S1B_SA" 7 4066362 4065161 2204855 1860306 176643 82405 0.004411 0.00079 76158 53014 "ROW_S1B" "ROW"
"P1-Nutr_A02_ROW_S1B_SA" 7 2892742 2891910 1506292 1385618 131745 54702 0.003496 0.000774 52240 44164 "ROW_S1B" "ROW"
"P1-Nutr_A03_ROW_S1B_SA" 7 2147432 2146775 1127622 1019153 141688 51798 0.003849 0.000785 47828 40015 "ROW_S1B" "ROW"
"P1-Nutr_B01_ROW_S1B_SA" 7 3980098 3979025 2093593 1885432 166666 73377 0.003616 0.000735 68157 50928 "ROW_S1B" "ROW"
"P1-Nutr_B02_ROW_S1B_SA" 7 2576278 2575420 1394107 1181313 145562 56053 0.004163 0.000899 52523 44927 "ROW_S1B" "ROW"
"P1-Nutr_B03_ROW_S1B_SA" 7 3151697 3150874 1730691 1420183 137494 59916 0.003362 0.000742 57165 44819 "ROW_S1B" "ROW"
"P1-Nutr_C01_ROW_S1B_SA" 7 3843521 3842604 2109349 1733255 163418 72831 0.003829 0.000776 68239 51408 "ROW_S1B" "ROW"
"P1-Nutr_C02_ROW_S1B_SA" 7 1262024 1261553 654735 606818 105372 36767 0.003109 0.00075 35401 32694 "ROW_S1B" "ROW"
"P1-Nutr_D01_ROW_S1B_SA" 7 2419354 2418645 1304830 1113815 147064 56076 0.00399 0.000778 51967 42574 "ROW_S1B" "ROW"
"P1-Nutr_D02_ROW_S1B_SA" 7 802145 801935 433784 368151 100189 26873 0.004709 0.000816 24844 23611 "ROW_S1B" "ROW"
"P1-Nutr_D03_ROW_S1B_SA" 7 4231907 4230723 2276263 1954460 174472 78277 0.004463 0.000834 71608 50852 "ROW_S1B" "ROW"
"P1-Nutr_E01_ROW_S1B_SA" 7 1842273 1841622 995519 846103 121799 47646 0.003328 0.00079 45507 39101 "ROW_S1B" "ROW"
"P1-Nutr_E02_ROW_S1B_SA" 7 3113718 3112838 1707673 1405165 140900 57853 0.003502 0.000768 54542 44168 "ROW_S1B" "ROW"
"P1-Nutr_F01_ROW_S1B_SA" 7 3117182 3116199 1655987 1460212 143214 63199 0.003415 0.000752 60229 48552 "ROW_S1B" "ROW"
"P1-Nutr_F02_ROW_S1B_SA" 7 3383824 3382840 1819588 1563252 170008 73880 0.004625 0.00081 68086 50010 "ROW_S1B" "ROW"
"P1-Nutr_G01_ROW_S1B_SA" 7 1861555 1860730 1003645 857085 134654 49608 0.00332 0.000773 46808 39191 "ROW_S1B" "ROW"
"P1-Nutr_G02_ROW_S1B_SA" 7 3828549 3827643 2064130 1763513 156555 67369 0.003822 0.000784 63228 49023 "ROW_S1B" "ROW"
"P1-Nutr_H01_ROW_S1B_SA" 7 1888565 1888053 998110 889943 90729 42247 0.00269 0.000787 41258 35723 "ROW_S1B" "ROW"
"P1-Nutr_H02_ROW_S1B_SA" 7 2516685 2516007 1364950 1151057 139177 53517 0.00386 0.00075 50567 43697 "ROW_S1B" "ROW"
"P1_A01_RUM_S3_SA" 7 4953456 4951243 2613228 2338015 184102 84497 0.004311 0.000703 77347 53623 "RUM_S3" "RUM"
"P1_A02_RUM_S3_SA" 7 5106213 5103720 2665643 2438077 173937 76023 0.004109 0.000752 70261 52959 "RUM_S3" "RUM"
"P1_A03_RUM_S3_SA" 7 5186706 5183993 2631471 2552522 186294 85598 0.004712 0.000717 78111 54100 "RUM_S3" "RUM"
"P1_A04_ROW_S2_SA" 7 3476352 3474387 1791106 1683281 175515 73957 0.004134 0.000728 67022 50421 "ROW_S2" "ROW"
"P1_A05_ROW_S2_SA" 7 4751685 4749198 2494975 2254223 179781 81877 0.00423 0.000781 75267 53506 "ROW_S2" "ROW"
"P1_A06_ROW_S2_SA" 7 2912926 2911992 1572001 1339991 152137 62333 0.003681 0.000742 58422 46609 "ROW_S2" "ROW"
"P1_A07_BEL_KEY_SA" 7 3167682 3166424 1650130 1516294 166491 68334 0.00403 0.000691 62286 46923 "BEL_KEY" "BEL"
"P1_A08_BEL_KEY_SA" 7 4651103 4649230 2509970 2139260 162153 70033 0.003757 0.000718 65576 51604 "BEL_KEY" "BEL"
"P1_A09_BEL_KEY_SA" 7 2404331 2403666 1250954 1152712 112190 49300 0.003573 0.000699 48005 43828 "BEL_KEY" "BEL"
"P1_A10_RUM_S2_SA" 7 4082084 4080770 2020802 2059968 154375 63299 0.003889 0.000734 58839 48121 "RUM_S2" "RUM"
"P1_A11_RUM_S2_SA" 7 4155000 4153577 2070166 2083411 151111 62478 0.003704 0.000717 58893 49094 "RUM_S2" "RUM"
"P1_A12_RUM_S2_SA" 7 3922456 3920580 2022051 1898529 158656 62412 0.006269 0.000885 56310 47540 "RUM_S2" "RUM"
"P1_B01_RUM_S3_SA" 7 4878328 4875984 2628310 2247674 182480 86256 0.004239 0.000706 78620 53114 "RUM_S3" "RUM"
"P1_B02_RUM_S3_SA" 7 4756124 4753993 2454691 2299302 158834 68365 0.003733 0.000709 64384 51175 "RUM_S3" "RUM"
"P1_B03_RUM_S3_SA" 7 4859358 4856508 2593174 2263334 185648 86811 0.004229 0.000748 78987 53974 "RUM_S3" "RUM"
"P1_B04_ROW_S2_SA" 7 4527347 4525672 2304800 2220872 178735 79845 0.004397 0.000791 73109 53131 "ROW_S2" "ROW"
"P1_B05_ROW_S2_SA" 7 635509 635245 320523 314722 88184 17805 0.003382 0.000763 16321 15149 "ROW_S2" "ROW"
"P1_B06_ROW_S2_SA" 7 3697475 3696212 1938296 1757916 172544 73091 0.004177 0.000715 67116 51077 "ROW_S2" "ROW"
"P1_B07_BEL_KEY_SA" 7 1235931 1235072 649290 585782 121572 35032 0.002637 0.000785 32351 26817 "BEL_KEY" "BEL"
"P1_B08_BEL_KEY_SA" 7 4422367 4419834 2378486 2041348 170006 77401 0.003932 0.000748 71342 51463 "BEL_KEY" "BEL"
"P1_B09_BEL_KEY_SA" 7 1581228 1580573 847079 733494 115387 43460 0.004021 0.000713 41775 38659 "BEL_KEY" "BEL"
"P1_B10_RUM_S2_SA" 7 4340969 4339244 2174476 2164768 162184 69850 0.003934 0.000742 64425 49900 "RUM_S2" "RUM"
"P1_B11_RUM_S2_SA" 7 2831052 2829304 1436127 1393177 147007 54497 0.003574 0.000697 51214 44747 "RUM_S2" "RUM"
"P1_B12_RUM_S2_SA" 7 1168382 1168033 615130 552903 104232 37135 0.004248 0.00083 35212 32903 "RUM_S2" "RUM"
"P1_C01_RUM_S3_SA" 7 4728009 4726562 2531411 2195151 171670 75942 0.003824 0.000742 70869 53340 "RUM_S3" "RUM"
"P1_C03_RUM_S3_SA" 7 3970007 3968113 2046418 1921695 152345 59796 0.003818 0.000746 56586 48317 "RUM_S3" "RUM"
"P1_C04_ROW_S2_SA" 7 3949931 3948465 2019206 1929259 177419 77289 0.004411 0.000748 70789 52331 "ROW_S2" "ROW"
"P1_C05_ROW_S2_SA" 7 4304727 4302625 2184074 2118551 159652 63613 0.003912 0.000742 59339 49283 "ROW_S2" "ROW"
"P1_C07_BEL_KEY_SA" 7 4157594 4156331 2198389 1957942 159956 69632 0.004177 0.000746 64772 49090 "BEL_KEY" "BEL"
"P1_C08_BEL_KEY_SA" 7 3619955 3617870 1899190 1718680 163437 68217 0.004151 0.000724 62283 48834 "BEL_KEY" "BEL"
"P1_C09_BEL_KEY_SA" 7 1790622 1789989 968150 821839 123982 48445 0.004156 0.000746 46342 41951 "BEL_KEY" "BEL"
"P1_C10_RUM_S2_SA" 7 4656862 4655414 2249217 2406197 144112 61194 0.003596 0.000689 57483 45568 "RUM_S2" "RUM"
"P1_C11_RUM_S2_SA" 7 4443742 4441456 2132845 2308611 166360 67474 0.003914 0.000729 61873 49905 "RUM_S2" "RUM"
"P1_D01_RUM_S3_SA" 7 4733735 4731733 2472373 2259360 181630 81227 0.004087 0.000706 74280 53102 "RUM_S3" "RUM"
"P1_D02_RUM_S3_SA" 7 5011617 5008833 2579406 2429427 171566 72822 0.00391 0.000715 67196 52103 "RUM_S3" "RUM"
"P1_D03_RUM_S3_SA" 7 4183124 4181693 2211730 1969963 146189 59142 0.003751 0.000685 56232 47744 "RUM_S3" "RUM"
"P1_D04_ROW_S2_SA" 7 1186459 1186137 574617 611520 69782 33460 0.00219 0.000738 32730 28189 "ROW_S2" "ROW"
"P1_D05_ROW_S2_SA" 7 3780623 3779537 1934153 1845384 153289 69383 0.00362 0.000753 65924 51556 "ROW_S2" "ROW"
"P1_D06_BEL_ROS_SA" 7 2232478 2231872 1164781 1067091 119043 51797 0.004913 0.000918 49289 44394 "BEL_ROS" "BEL"
"P1_D07_BEL_KEY_SA" 7 3895200 3894034 2116810 1777224 175791 79435 0.004356 0.000715 73147 51635 "BEL_KEY" "BEL"
"P1_D08_BEL_KEY_SA" 7 3846985 3845543 2066267 1779276 152168 64438 0.003425 0.000712 60729 49653 "BEL_KEY" "BEL"
"P1_D09_BEL_KEY_SA" 7 1702710 1702090 899191 802899 125108 45527 0.004221 0.000794 43171 39779 "BEL_KEY" "BEL"
"P1_D10_RUM_S2_SA" 7 4296000 4294393 2270890 2023503 170338 76139 0.003876 0.000721 70337 51422 "RUM_S2" "RUM"
"P1_D11_RUM_S2_SA" 7 1832745 1831604 865962 965642 120899 42851 0.003565 0.000738 41272 38241 "RUM_S2" "RUM"
"P1_D12_BEL_ROS_SA" 7 4296431 4294339 1968296 2326043 150632 58717 0.003665 0.000748 55131 47479 "BEL_ROS" "BEL"
"P1_E01_RUM_S3_SA" 7 4058238 4057038 2152427 1904611 143582 61792 0.003655 0.000694 59188 50027 "RUM_S3" "RUM"
"P1_E02_RUM_S3_SA" 7 3046108 3044771 1606225 1438546 132253 53712 0.003445 0.000722 51853 46465 "RUM_S3" "RUM"
"P1_E03_RUM_S3_SA" 7 5286188 5284370 2793372 2490998 177584 86194 0.003844 0.000731 81010 54643 "RUM_S3" "RUM"
"P1_E04_ROW_S2_SA" 7 3887094 3884919 1993246 1891673 176791 80043 0.004238 0.000746 72668 50522 "ROW_S2" "ROW"
"P1_E05_ROW_S2_SA" 7 4325259 4323568 2264639 2058929 187302 88956 0.004242 0.000733 81368 53441 "ROW_S2" "ROW"
"P1_E06_BEL_ROS_SA" 7 3855885 3854495 966375 2888120 138825 47937 0.004233 0.000731 44758 40143 "BEL_ROS" "BEL"
"P1_E07_BEL_KEY_SA" 7 3986858 3985476 2098258 1887218 154445 66468 0.004104 0.000737 62861 51261 "BEL_KEY" "BEL"
"P1_E08_BEL_KEY_SA" 7 1740014 1738719 921649 817070 142777 46283 0.00363 0.00075 42611 36894 "BEL_KEY" "BEL"
"P1_E10_RUM_S2_SA" 7 3073766 3072595 1559142 1513453 153349 59657 0.004465 0.000912 55607 47540 "RUM_S2" "RUM"
"P1_E11_RUM_S2_SA" 7 2609271 2608099 1330294 1277805 161564 61051 0.004082 0.000725 56448 46513 "RUM_S2" "RUM"
"P1_E12_BEL_ROS_SA" 7 1211345 1209165 616352 592813 137483 35880 0.003288 0.000737 30614 19887 "BEL_ROS" "BEL"
"P1_F01_RUM_S3_SA" 7 4145197 4144192 2177123 1967069 141843 63573 0.003836 0.00069 61012 50556 "RUM_S3" "RUM"
"P1_F02_RUM_S3_SA" 7 6121275 6117799 3137442 2980357 183069 76562 0.007676 0.00097 67028 49562 "RUM_S3" "RUM"
"P1_F04_ROW_S2_SA" 7 4252957 4251281 2154611 2096670 170632 71664 0.004146 0.000699 65915 51639 "ROW_S2" "ROW"
"P1_F05_ROW_S2_SA" 7 4586562 4585228 2442269 2142959 178966 84772 0.00398 0.000723 79302 54508 "ROW_S2" "ROW"
"P1_F06_BEL_ROS_SA" 7 3188843 3187410 1681253 1506157 149489 60178 0.003736 0.000733 55794 45581 "BEL_ROS" "BEL"
"P1_F07_BEL_KEY_SA" 7 4136292 4133720 2207766 1925954 175192 76779 0.004491 0.000771 69928 51270 "BEL_KEY" "BEL"
"P1_F08_BEL_KEY_SA" 7 2507029 2506119 1324362 1181757 137804 52449 0.003616 0.000765 49775 43636 "BEL_KEY" "BEL"
"P1_F10_RUM_S2_SA" 7 1453470 1453100 753101 699999 112877 42337 0.005152 0.000923 39836 36685 "RUM_S2" "RUM"
"P1_F11_RUM_S2_SA" 7 4011978 4010733 1972488 2038245 144854 58550 0.003544 0.000673 55527 46914 "RUM_S2" "RUM"
