"name" "state" "reads_raw" "reads_passed_filter" "refseq_mapped_reads" "refseq_unmapped_reads" "clusters_total" "clusters_hidepth" "hetero_est" "error_est" "reads_consens" "loci_in_assembly" "sites" "site_simple"
"P2_A01_RUM_S2_SP" 7 5675418 5674003 1164757 4509246 25080 10847 0.004799 0.000699 10170 5952 "RUM_S2" "RUM"
"P2_A02_RUM_S2_SP" 7 4279986 4278671 899067 3379604 24043 10484 0.004707 0.000742 9803 5801 "RUM_S2" "RUM"
"P2_A03_RUM_S3_SP" 7 1930786 1928497 406913 1521584 22369 10448 0.004918 0.000786 9685 5380 "RUM_S3" "RUM"
"P2_A04_RUM_S3_SP" 7 2488657 2487983 543231 1944752 19382 8238 0.003924 0.000759 7825 5287 "RUM_S3" "RUM"
"P2_A05_RUM_S2_SP" 7 6211090 6208940 1264091 4944849 25767 13864 0.004038 0.000689 13102 5988 "RUM_S2" "RUM"
"P2_A06_RUM_S2_SP" 7 5499573 5498455 1133633 4364822 23201 10209 0.004129 0.000687 9647 5825 "RUM_S2" "RUM"
"P2_A07_ROW_S1_SP" 7 4244730 4242592 912153 3330439 25172 12268 0.004428 0.000745 11573 6077 "ROW_S1" "ROW"
"P2_A08_ROW_S1_SP" 7 906626 905740 196093 709647 14894 5594 0.003863 0.000765 5339 4078 "ROW_S1" "ROW"
"P2_A09_ROW_S1B_SP" 7 2190324 2189643 457637 1732006 19290 8334 0.003908 0.000765 7932 5418 "ROW_S1B" "ROW"
"P2_A10_ROW_S1B_SP" 7 2289260 2285845 468736 1817109 20142 8450 0.004351 0.000771 7925 5088 "ROW_S1B" "ROW"
"P2_A11_ROW_S1B_SP" 7 4460981 4457349 951993 3505356 28233 17238 0.004017 0.000715 16336 6268 "ROW_S1B" "ROW"
"P2_A12_BEL_LBE_SP" 7 1138198 1138022 208103 929919 10751 5619 0.003132 0.000729 5436 4235 "BEL_LBE" "BEL"
"P2_B01_RUM_S2_SP" 7 2912062 2911382 578660 2332722 19190 7734 0.0039 0.000754 7369 5207 "RUM_S2" "RUM"
"P2_B02_RUM_S2_SP" 7 5650704 5649440 1196776 4452664 24561 11140 0.004368 7e-04 10467 5914 "RUM_S2" "RUM"
"P2_B03_RUM_S3_SP" 7 5053564 5051265 1054822 3996443 26018 13744 0.004265 0.000708 12941 6010 "RUM_S3" "RUM"
"P2_B04_RUM_S3_SP" 7 3178053 3176927 669208 2507719 22461 10126 0.004356 0.000751 9558 5661 "RUM_S3" "RUM"
"P2_B05_RUM_S2_SP" 7 3647093 3644801 760207 2884594 25267 13902 0.004404 0.000692 13069 6040 "RUM_S2" "RUM"
"P2_B06_RUM_S2_SP" 7 2240290 2239832 394503 1845329 17360 7378 0.003932 0.000775 7033 5084 "RUM_S2" "RUM"
"P2_B07_ROW_S1_SP" 7 5197691 5195788 1113569 4082219 24407 12218 0.003836 0.000729 11617 6001 "ROW_S1" "ROW"
"P2_B08_ROW_S1_SP" 7 6911896 6909590 1467600 5441990 28954 15538 0.004467 0.000744 14634 6253 "ROW_S1" "ROW"
"P2_B09_ROW_S1B_SP" 7 3869308 3867661 805759 3061902 25153 13793 0.004181 0.000822 13032 5986 "ROW_S1B" "ROW"
"P2_B10_ROW_S1B_SP" 7 2540626 2538866 531077 2007789 19250 7693 0.003898 0.000733 7283 5125 "ROW_S1B" "ROW"
