loci_spal,multAllele,counts,het,hobs,p,q,hexp
loc0_pos8,FALSE,286,64,0.223776223776224,0.192307692307692,0.807692307692308,0.310650887573965
loc21_pos50,FALSE,262,22,0.083969465648855,0.0916030534351145,0.908396946564885,0.166423868072956
loc29_pos57,FALSE,289,30,0.103806228373702,0.934256055363322,0.0657439446366782,0.122843356760575
loc31_pos19,FALSE,278,21,0.0755395683453237,0.929856115107914,0.0701438848920863,0.130447440608664
loc33_pos19,FALSE,260,40,0.153846153846154,0.923076923076923,0.0769230769230769,0.142011834319527
loc36_pos5,FALSE,302,67,0.221854304635762,0.779801324503311,0.220198675496689,0.343422437612385
loc43_pos50,FALSE,276,42,0.152173913043478,0.884057971014493,0.115942028985507,0.204998949800462
loc47_pos15,FALSE,292,77,0.263698630136986,0.24486301369863,0.75513698630137,0.369810236442109
loc60_pos57,FALSE,307,120,0.390879478827362,0.465798045602606,0.534201954397394,0.497660452630797
loc67_pos9,FALSE,262,38,0.145038167938931,0.141221374045802,0.858778625954199,0.242555795116835
loc84_pos15,FALSE,290,43,0.148275862068966,0.912068965517241,0.0879310344827586,0.160398335315101
loc98_pos94,FALSE,300,57,0.19,0.851666666666667,0.148333333333333,0.252661111111111
loc99_pos12,FALSE,287,58,0.202090592334495,0.874564459930314,0.125435540069686,0.219402930714225
loc103_pos73,FALSE,297,25,0.0841750841750842,0.0589225589225589,0.941077441077441,0.110901381945153
loc106_pos4,FALSE,259,62,0.239382239382239,0.768339768339768,0.231660231660232,0.355987537454719
loc118_pos21,FALSE,285,16,0.056140350877193,0.940350877192982,0.0596491228070175,0.112182209910742
loc123_pos6,FALSE,290,74,0.255172413793103,0.189655172413793,0.810344827586207,0.307372175980975
loc139_pos13,FALSE,311,53,0.170418006430868,0.136655948553055,0.863344051446945,0.235962200556239
loc144_pos6,FALSE,271,70,0.25830258302583,0.287822878228782,0.712177121771218,0.409961737993764
loc149_pos0,FALSE,277,19,0.0685920577617329,0.0667870036101083,0.933212996389892,0.124652999517783
loc158_pos3,FALSE,282,52,0.184397163120567,0.117021276595745,0.882978723404255,0.206654594839294
loc176_pos8,FALSE,268,83,0.309701492537313,0.263059701492537,0.736940298507463,0.387718589886389
loc178_pos120,FALSE,274,31,0.113138686131387,0.936131386861314,0.0638686131386861,0.119578826788854
loc191_pos6,FALSE,261,108,0.413793103448276,0.53639846743295,0.46360153256705,0.497350303137065
loc192_pos17,FALSE,269,40,0.148698884758364,0.9182156133829,0.0817843866171004,0.15019140144553
loc194_pos124,FALSE,266,102,0.383458646616541,0.556390977443609,0.443609022556391,0.493640115325909
loc214_pos2,FALSE,285,64,0.224561403508772,0.168421052631579,0.831578947368421,0.2801108033241
loc217_pos6,FALSE,284,31,0.109154929577465,0.938380281690141,0.0616197183098591,0.115645457250545
loc237_pos4,FALSE,286,19,0.0664335664335664,0.0786713286713287,0.921328671328671,0.144964301432833
loc277_pos27,FALSE,276,121,0.438405797101449,0.567028985507246,0.432971014492754,0.491014230203739
loc299_pos25,FALSE,282,72,0.25531914893617,0.187943262411348,0.812056737588652,0.305241185051054
loc303_pos25,FALSE,277,62,0.223826714801444,0.202166064981949,0.79783393501805,0.322589894303327
loc310_pos34,FALSE,269,86,0.319702602230483,0.286245353159851,0.713754646840149,0.408617901908487
loc311_pos49,FALSE,288,73,0.253472222222222,0.203125,0.796875,0.32373046875
loc315_pos15,FALSE,300,65,0.216666666666667,0.851666666666667,0.148333333333333,0.252661111111111
loc336_pos104,FALSE,290,93,0.320689655172414,0.339655172413793,0.660344827586207,0.448579072532699
loc348_pos107,FALSE,290,95,0.327586206896552,0.646551724137931,0.353448275862069,0.4570451843044
loc353_pos94,FALSE,291,68,0.233676975945017,0.797250859106529,0.202749140893471,0.323283853520861
loc364_pos74,FALSE,275,24,0.0872727272727273,0.08,0.92,0.1472
loc378_pos11,FALSE,263,47,0.178707224334601,0.88403041825095,0.115969581749049,0.205041275716
loc391_pos94,FALSE,277,99,0.357400722021661,0.525270758122744,0.474729241877256,0.498722777567804
loc402_pos35,FALSE,270,112,0.414814814814815,0.540740740740741,0.459259259259259,0.496680384087791
loc433_pos48,FALSE,303,27,0.0891089108910891,0.938943894389439,0.0610561056105611,0.114656515156466
loc445_pos7,FALSE,287,35,0.121951219512195,0.925087108013937,0.0749128919860628,0.138601901200695
loc476_pos8,FALSE,299,30,0.100334448160535,0.929765886287625,0.0702341137123745,0.130602565966824
loc485_pos28,FALSE,295,34,0.115254237288136,0.122033898305085,0.877966101694915,0.214283251939098
loc488_pos16,FALSE,280,51,0.182142857142857,0.144642857142857,0.855357142857143,0.247442602040816
loc529_pos8,FALSE,262,62,0.236641221374046,0.790076335877863,0.209923664122137,0.331711438727347
loc551_pos94,FALSE,261,67,0.256704980842912,0.243295019157088,0.756704980842912,0.36820510562088
loc556_pos26,FALSE,302,22,0.0728476821192053,0.947019867549669,0.0529801324503312,0.100346476031753
loc570_pos119,FALSE,279,78,0.279569892473118,0.240143369175627,0.759856630824373,0.364949062833211
loc573_pos115,FALSE,293,27,0.0921501706484642,0.0767918088737201,0.92320819112628,0.141789653927244
loc582_pos17,FALSE,287,49,0.170731707317073,0.883275261324042,0.116724738675958,0.206200148113975
loc586_pos112,FALSE,282,65,0.230496453900709,0.235815602836879,0.764184397163121,0.360413208591117
loc597_pos110,FALSE,266,19,0.0714285714285714,0.949248120300752,0.0507518796992481,0.0963522528124823
loc612_pos15,FALSE,262,30,0.114503816793893,0.145038167938931,0.854961832061069,0.248004195559699
loc613_pos8,FALSE,303,49,0.161716171617162,0.872937293729373,0.127062706270627,0.221835549891623
loc618_pos38,FALSE,267,103,0.385767790262172,0.537453183520599,0.462546816479401,0.497194518088345
loc625_pos12,FALSE,271,20,0.0738007380073801,0.948339483394834,0.051660516605166,0.0979834152585068
loc628_pos11,FALSE,260,77,0.296153846153846,0.525,0.475,0.49875
loc629_pos7,FALSE,288,111,0.385416666666667,0.366319444444444,0.633680555555556,0.464259018132716
loc630_pos101,FALSE,264,84,0.318181818181818,0.734848484848485,0.265151515151515,0.389692378328742
loc654_pos9,FALSE,274,49,0.178832116788321,0.107664233576642,0.892335766423358,0.192145292769993
loc657_pos94,FALSE,270,24,0.0888888888888889,0.0740740740740741,0.925925925925926,0.137174211248285
loc676_pos2,FALSE,262,31,0.118320610687023,0.929389312977099,0.0706106870229007,0.131249635802109
loc677_pos56,FALSE,278,23,0.0827338129496403,0.93705035971223,0.0629496402877698,0.11797396615082
loc678_pos18,FALSE,277,87,0.314079422382672,0.225631768953069,0.774368231046931,0.349444147584355
loc717_pos49,FALSE,286,66,0.230769230769231,0.195804195804196,0.804195804195804,0.314929825419336
loc743_pos108,FALSE,281,54,0.192170818505338,0.846975088967972,0.153024911032028,0.259216575271336
loc753_pos21,FALSE,267,33,0.123595505617978,0.897003745318352,0.102996254681648,0.184776052406402
loc785_pos110,FALSE,279,14,0.050179211469534,0.946236559139785,0.053763440860215,0.10174586657417
loc796_pos103,FALSE,262,100,0.381679389312977,0.709923664122137,0.290076335877863,0.411864110483072
loc808_pos42,FALSE,300,72,0.24,0.276666666666667,0.723333333333333,0.400244444444444
loc812_pos98,FALSE,259,12,0.0463320463320463,0.911196911196911,0.0888030888030888,0.161834200444239
loc818_pos11,FALSE,297,22,0.0740740740740741,0.94949494949495,0.0505050505050505,0.0959085807570656
loc834_pos98,FALSE,277,26,0.0938628158844765,0.938628158844765,0.0613718411552346,0.115210676536903
loc852_pos35,FALSE,284,102,0.359154929577465,0.387323943661972,0.612676056338028,0.474608212656219
loc855_pos137,FALSE,289,127,0.439446366782007,0.416955017301038,0.583044982698962,0.486207061697058
loc862_pos105,FALSE,259,47,0.181467181467181,0.886100386100386,0.113899613899614,0.201852983706266
loc864_pos14,FALSE,295,90,0.305084745762712,0.769491525423729,0.230508474576271,0.354748635449583
loc873_pos8,FALSE,263,69,0.262357414448669,0.807984790874525,0.192015209125475,0.310290737179951
loc881_pos129,FALSE,288,24,0.0833333333333333,0.90625,0.09375,0.169921875
loc919_pos12,FALSE,291,50,0.171821305841924,0.879725085910653,0.120274914089347,0.211617718260295
loc921_pos10,FALSE,294,86,0.292517006802721,0.792517006802721,0.207482993197279,0.328867601462354
loc952_pos26,FALSE,278,55,0.197841726618705,0.850719424460432,0.149280575539568,0.253991770612287
loc955_pos57,FALSE,304,90,0.296052631578947,0.269736842105263,0.730263157894737,0.393957756232687
loc964_pos103,FALSE,267,69,0.258426966292135,0.230337078651685,0.769662921348315,0.354563817699785
loc975_pos18,FALSE,294,26,0.0884353741496599,0.942176870748299,0.0578231292517006,0.108959229950484
loc980_pos2,FALSE,288,93,0.322916666666667,0.289930555555556,0.710069444444444,0.411741657021605
loc995_pos111,FALSE,269,99,0.368029739776952,0.388475836431227,0.611524163568773,0.475124721880571
loc1005_pos4,FALSE,296,38,0.128378378378378,0.10472972972973,0.89527027027027,0.187522826880935
loc1023_pos5,FALSE,294,49,0.166666666666667,0.875850340136054,0.124149659863946,0.217473043639224
loc1036_pos1,FALSE,263,34,0.129277566539924,0.920152091254753,0.0798479087452472,0.146944440428516
loc1040_pos64,FALSE,282,112,0.397163120567376,0.372340425531915,0.627659574468085,0.467406066093255
loc1085_pos12,FALSE,297,107,0.36026936026936,0.405723905723906,0.594276094276094,0.48222403609609
loc1101_pos13,FALSE,288,63,0.21875,0.199652777777778,0.800347222222222,0.31958309220679
loc1129_pos11,FALSE,273,27,0.0989010989010989,0.0860805860805861,0.913919413919414,0.157341437561218
loc1130_pos39,FALSE,261,85,0.325670498084291,0.699233716475096,0.300766283524904,0.420611852439042
loc1141_pos28,FALSE,309,42,0.135922330097087,0.0841423948220065,0.915857605177994,0.154124904431248
loc1159_pos43,FALSE,285,107,0.375438596491228,0.626315789473684,0.373684210526316,0.46808864265928
loc1190_pos7,FALSE,277,26,0.0938628158844765,0.945848375451264,0.0541516245487365,0.102438452214938
loc1191_pos3,FALSE,270,11,0.0407407407407407,0.364814814814815,0.635185185185185,0.463449931412894
loc1207_pos63,FALSE,272,41,0.150735294117647,0.884191176470588,0.115808823529412,0.204794279844291
loc1223_pos17,FALSE,267,51,0.191011235955056,0.829588014981273,0.170411985018727,0.282743480761408
loc1225_pos21,FALSE,288,38,0.131944444444444,0.899305555555556,0.100694444444444,0.181110146604938
loc1240_pos2,FALSE,288,71,0.246527777777778,0.185763888888889,0.814236111111111,0.302511332947531
loc1295_pos212,FALSE,275,36,0.130909090909091,0.890909090909091,0.109090909090909,0.194380165289256
loc1297_pos10,FALSE,278,41,0.147482014388489,0.879496402877698,0.120503597122302,0.211964960405776
loc1300_pos98,FALSE,294,79,0.268707482993197,0.25,0.75,0.375
loc1302_pos23,FALSE,264,98,0.371212121212121,0.439393939393939,0.560606060606061,0.492653810835629
loc1304_pos19,FALSE,259,30,0.115830115830116,0.938223938223938,0.0617760617760618,0.115919559935004
loc1344_pos18,FALSE,272,47,0.172794117647059,0.902573529411765,0.0974264705882353,0.17586910683391
loc1345_pos3,FALSE,275,84,0.305454545454545,0.32,0.68,0.4352
loc1351_pos149,FALSE,262,58,0.221374045801527,0.141221374045802,0.858778625954199,0.242555795116835
loc1364_pos112,FALSE,289,51,0.176470588235294,0.133217993079585,0.866782006920415,0.230941918798865
loc1373_pos17,FALSE,284,122,0.429577464788732,0.528169014084507,0.471830985915493,0.498413013291014
loc1375_pos65,FALSE,296,35,0.118243243243243,0.913851351351351,0.0861486486486487,0.157454117969321
loc1376_pos131,FALSE,281,95,0.338078291814947,0.706405693950178,0.293594306049822,0.414793379009891
loc1394_pos10,FALSE,282,21,0.074468085106383,0.934397163120567,0.0656028368794326,0.122598209345606
loc1396_pos16,FALSE,262,91,0.347328244274809,0.677480916030534,0.322519083969466,0.437001048889925
loc1411_pos0,FALSE,264,74,0.28030303030303,0.768939393939394,0.231060606060606,0.355343204775023
loc1412_pos19,FALSE,292,43,0.147260273972603,0.871575342465753,0.128424657534247,0.223863529742916
loc1437_pos26,FALSE,284,52,0.183098591549296,0.862676056338028,0.137323943661972,0.236932156318191
loc1481_pos21,FALSE,290,57,0.196551724137931,0.846551724137931,0.153448275862069,0.259803804994055
loc1483_pos31,FALSE,291,125,0.429553264604811,0.479381443298969,0.520618556701031,0.499149750239133
loc1484_pos6,FALSE,293,36,0.122866894197952,0.911262798634812,0.0887372013651877,0.161725820918124
loc1491_pos96,FALSE,302,94,0.311258278145695,0.804635761589404,0.195364238410596,0.314394105521688
loc1501_pos98,FALSE,287,20,0.0696864111498258,0.947735191637631,0.0522648083623694,0.0990663963384283
loc1521_pos22,FALSE,293,36,0.122866894197952,0.0784982935153584,0.921501706484642,0.14467262286107
loc1536_pos19,FALSE,270,76,0.281481481481481,0.733333333333333,0.266666666666667,0.391111111111111
loc1543_pos32,FALSE,276,35,0.126811594202899,0.903985507246377,0.0960144927536232,0.173591419869775
loc1549_pos1,FALSE,266,70,0.263157894736842,0.665413533834586,0.334586466165414,0.445276725648708
loc1567_pos37,FALSE,278,103,0.370503597122302,0.537769784172662,0.462230215827338,0.497146886807101
loc1602_pos18,FALSE,267,92,0.344569288389513,0.314606741573034,0.685393258426966,0.431258679459664
loc1628_pos8,FALSE,276,76,0.27536231884058,0.293478260869565,0.706521739130435,0.414697542533081
loc1631_pos43,FALSE,310,39,0.125806451612903,0.914516129032258,0.0854838709677419,0.156352757544225
loc1640_pos12,FALSE,267,32,0.119850187265918,0.921348314606742,0.0786516853932584,0.144931195556117
loc1660_pos35,FALSE,277,102,0.368231046931408,0.425992779783394,0.574007220216606,0.489045862711621
loc1667_pos24,FALSE,266,32,0.120300751879699,0.917293233082707,0.0827067669172933,0.151732715246764
loc1680_pos97,FALSE,273,101,0.36996336996337,0.291208791208791,0.708791208791209,0.412812462263012
loc1685_pos111,FALSE,294,57,0.193877551020408,0.88265306122449,0.11734693877551,0.207153269471054
loc1703_pos0,FALSE,276,80,0.289855072463768,0.286231884057971,0.713768115942029,0.408606385213191
loc1711_pos6,FALSE,292,26,0.089041095890411,0.921232876712329,0.0787671232876712,0.145125727153312
loc1723_pos19,FALSE,261,24,0.0919540229885057,0.942528735632184,0.0574712643678161,0.108336636279561
loc1724_pos6,FALSE,276,67,0.242753623188406,0.164855072463768,0.835144927536232,0.275355755093468
loc1731_pos25,FALSE,280,72,0.257142857142857,0.771428571428571,0.228571428571429,0.35265306122449
loc1757_pos13,FALSE,266,53,0.199248120300752,0.840225563909774,0.159774436090226,0.268493131324552
loc1823_pos21,FALSE,278,91,0.327338129496403,0.275179856115108,0.724820143884892,0.398911805807153
loc1824_pos22,FALSE,305,30,0.0983606557377049,0.934426229508197,0.0655737704918032,0.122547702230583
loc1827_pos6,FALSE,280,26,0.0928571428571429,0.942857142857143,0.0571428571428572,0.107755102040816
loc1850_pos20,FALSE,276,115,0.416666666666667,0.51268115942029,0.48731884057971,0.499678376391514
