loci_spal,multAllele,counts,het,hobs,p,q,hexp
loc0_pos8,FALSE,286,64,0.223776223776224,0.192307692307692,0.807692307692308,0.310650887573965
loc1_pos40,TRUE,298,1,0.00335570469798658,0.996644295302013,0.00335570469798663,0.00668888788793308
loc8_pos117,FALSE,310,1,0.0032258064516129,0.998387096774194,0.00161290322580643,0.00322060353798122
loc9_pos35,FALSE,292,1,0.00342465753424658,0.998287671232877,0.00171232876712324,0.00341879339463304
loc10_pos19,FALSE,260,1,0.00384615384615385,0.998076923076923,0.00192307692307692,0.00383875739644969
loc13_pos3,FALSE,267,3,0.0112359550561798,0.99438202247191,0.0056179775280899,0.0111728317131676
loc15_pos21,FALSE,299,1,0.00334448160535117,0.998327759197324,0.00167224080267558,0.0033388888267469
loc16_pos14,FALSE,290,1,0.00344827586206897,0.998275862068966,0.00172413793103443,0.0034423305588584
loc17_pos22,FALSE,290,2,0.00689655172413793,0.996551724137931,0.00344827586206897,0.00687277051129609
loc21_pos50,FALSE,262,22,0.083969465648855,0.0916030534351145,0.908396946564885,0.166423868072956
loc23_pos18,FALSE,297,20,0.0673400673400673,0.962962962962963,0.0370370370370371,0.0713305898491085
loc24_pos119,FALSE,306,1,0.00326797385620915,0.998366013071895,0.00163398692810457,0.00326263402964671
loc27_pos86,FALSE,305,1,0.00327868852459016,0.998360655737705,0.00163934426229506,0.00327331362536948
loc29_pos57,FALSE,289,30,0.103806228373702,0.934256055363322,0.0657439446366782,0.122843356760575
loc31_pos19,FALSE,278,21,0.0755395683453237,0.929856115107914,0.0701438848920863,0.130447440608664
loc32_pos76,FALSE,277,3,0.0108303249097473,0.990974729241877,0.00902527075812276,0.0178876304917307
loc33_pos19,FALSE,260,40,0.153846153846154,0.923076923076923,0.0769230769230769,0.142011834319527
loc35_pos156,FALSE,266,1,0.0037593984962406,0.99812030075188,0.00187969924812026,0.00375233195771375
loc36_pos5,FALSE,302,67,0.221854304635762,0.779801324503311,0.220198675496689,0.343422437612385
loc37_pos10,FALSE,267,1,0.00374531835205993,0.99812734082397,0.00187265917602997,0.0037383046472808
loc40_pos133,FALSE,303,1,0.0033003300330033,0.998349834983498,0.00165016501650161,0.00329488394383986
loc43_pos50,FALSE,276,42,0.152173913043478,0.884057971014493,0.115942028985507,0.204998949800462
loc44_pos15,FALSE,293,0,0,0.996587030716723,0.0034129692832765,0.00680264184789582
loc47_pos15,FALSE,292,77,0.263698630136986,0.24486301369863,0.75513698630137,0.369810236442109
loc49_pos78,FALSE,306,0,0,1,0,0
loc51_pos4,FALSE,285,19,0.0666666666666667,0.956140350877193,0.043859649122807,0.0838719606032626
loc55_pos0,FALSE,267,1,0.00374531835205993,0.99812734082397,0.00187265917602997,0.0037383046472808
loc60_pos57,FALSE,307,120,0.390879478827362,0.465798045602606,0.534201954397394,0.497660452630797
loc61_pos1,FALSE,266,1,0.0037593984962406,0.99812030075188,0.00187969924812026,0.00375233195771375
loc62_pos138,FALSE,298,1,0.00335570469798658,0.998322147651007,0.00167785234899331,0.00335007432097658
loc64_pos25,FALSE,284,1,0.00352112676056338,0.998239436619718,0.00176056338028174,0.00351492759373151
loc67_pos9,FALSE,262,38,0.145038167938931,0.141221374045802,0.858778625954199,0.242555795116835
loc69_pos34,FALSE,288,11,0.0381944444444444,0.967013888888889,0.0329861111111112,0.0637960551697532
loc70_pos16,FALSE,281,4,0.0142348754448399,0.99288256227758,0.00711743772241991,0.0141335596053748
loc71_pos10,FALSE,274,2,0.0072992700729927,0.996350364963504,0.0036496350364964,0.00727263040119356
loc72_pos5,FALSE,274,1,0.00364963503649635,0.998175182481752,0.00182481751824815,0.00364297511854648
loc76_pos12,FALSE,259,7,0.027027027027027,0.0212355212355212,0.978764478764479,0.0415691477467539
loc77_pos74,FALSE,268,1,0.00373134328358209,0.998134328358209,0.00186567164179108,0.00372438182223219
loc79_pos125,FALSE,302,1,0.0033112582781457,0.998344370860927,0.0016556291390728,0.00330577606245331
loc81_pos10,FALSE,289,1,0.00346020761245675,0.998269896193772,0.0017301038062284,0.00345422109409615
loc82_pos23,FALSE,293,1,0.00341296928327645,0.998293515358362,0.00170648464163825,0.00340714510361221
loc83_pos31,FALSE,293,1,0.00341296928327645,0.998293515358362,0.00170648464163825,0.00340714510361221
loc84_pos15,FALSE,290,43,0.148275862068966,0.912068965517241,0.0879310344827586,0.160398335315101
loc86_pos16,FALSE,303,1,0.0033003300330033,0.998349834983498,0.00165016501650161,0.00329488394383986
loc87_pos28,FALSE,280,1,0.00357142857142857,0.998214285714286,0.00178571428571428,0.00356505102040815
loc89_pos41,FALSE,282,0,0,1,0,0
loc95_pos36,FALSE,289,1,0.00346020761245675,0.998269896193772,0.0017301038062284,0.00345422109409615
loc98_pos94,FALSE,300,57,0.19,0.851666666666667,0.148333333333333,0.252661111111111
loc99_pos12,FALSE,287,58,0.202090592334495,0.874564459930314,0.125435540069686,0.219402930714225
loc103_pos73,FALSE,297,25,0.0841750841750842,0.0589225589225589,0.941077441077441,0.110901381945153
loc106_pos4,FALSE,259,62,0.239382239382239,0.768339768339768,0.231660231660232,0.355987537454719
loc108_pos3,FALSE,292,1,0.00342465753424658,0.998287671232877,0.00171232876712324,0.00341879339463304
loc110_pos19,FALSE,300,1,0.00333333333333333,0.998333333333333,0.0016666666666667,0.00332777777777785
loc112_pos145,FALSE,262,1,0.00381679389312977,0.998091603053435,0.00190839694656486,0.00380950993531841
loc114_pos34,FALSE,261,1,0.00383141762452107,0.99808429118774,0.00191570881226055,0.00382407774401436
loc118_pos21,FALSE,285,16,0.056140350877193,0.940350877192982,0.0596491228070175,0.112182209910742
loc119_pos43,FALSE,286,6,0.020979020979021,0.98951048951049,0.0104895104895105,0.0207589613184019
loc120_pos14,FALSE,292,2,0.00684931506849315,0.996575342465753,0.00342465753424659,0.00682585851003943
loc122_pos3,FALSE,304,1,0.00328947368421053,0.998355263157895,0.00164473684210531,0.00328406336565106
loc123_pos6,FALSE,290,74,0.255172413793103,0.189655172413793,0.810344827586207,0.307372175980975
loc126_pos4,FALSE,293,1,0.00341296928327645,0.998293515358362,0.00170648464163825,0.00340714510361221
loc128_pos17,FALSE,267,10,0.0374531835205993,0.9812734082397,0.0187265917602997,0.0367518130426855
loc130_pos107,FALSE,294,1,0.00340136054421769,0.998299319727891,0.00170068027210879,0.0033955759174417
loc136_pos46,FALSE,288,1,0.00347222222222222,0.998263888888889,0.00173611111111116,0.00346619405864207
loc137_pos13,FALSE,290,1,0.00344827586206897,0.998275862068966,0.00172413793103443,0.0034423305588584
loc138_pos28,FALSE,259,1,0.00386100386100386,0.998069498069498,0.00193050193050193,0.00385355018559651
loc139_pos13,FALSE,311,53,0.170418006430868,0.136655948553055,0.863344051446945,0.235962200556239
loc144_pos6,FALSE,271,70,0.25830258302583,0.287822878228782,0.712177121771218,0.409961737993764
loc146_pos11,FALSE,305,12,0.039344262295082,0.019672131147541,0.980327868852459,0.0385702768073099
loc149_pos0,FALSE,277,19,0.0685920577617329,0.0667870036101083,0.933212996389892,0.124652999517783
loc150_pos22,FALSE,265,1,0.00377358490566038,0.99811320754717,0.00188679245283019,0.00376646493414026
loc152_pos11,FALSE,263,1,0.00380228136882129,0.994296577946768,0.00570342205323193,0.0113417860602293
loc154_pos13,FALSE,265,2,0.00754716981132075,0.99622641509434,0.00377358490566038,0.0075186899252403
loc157_pos169,TRUE,272,1,0.00367647058823529,0.996323529411765,0.00367647058823528,0.00732590830449824
loc158_pos3,FALSE,282,52,0.184397163120567,0.117021276595745,0.882978723404255,0.206654594839294
loc161_pos6,FALSE,295,1,0.00338983050847458,0.998305084745763,0.00169491525423726,0.00338408503303643
loc167_pos136,FALSE,285,13,0.0456140350877193,0.959649122807018,0.0403508771929825,0.0774453678054786
loc173_pos24,FALSE,264,1,0.00378787878787879,0.99810606060606,0.00189393939393945,0.00378070477502306
loc175_pos18,FALSE,298,8,0.0268456375838926,0.986577181208054,0.0134228187919463,0.0264852934552497
loc176_pos8,FALSE,268,83,0.309701492537313,0.263059701492537,0.736940298507463,0.387718589886389
loc177_pos11,FALSE,292,3,0.0102739726027397,0.991438356164384,0.00856164383561642,0.0169766841808969
loc178_pos120,FALSE,274,31,0.113138686131387,0.936131386861314,0.0638686131386861,0.119578826788854
loc180_pos69,FALSE,298,12,0.0402684563758389,0.976510067114094,0.0234899328859061,0.0458763118778434
loc181_pos39,FALSE,304,9,0.0296052631578947,0.981907894736842,0.0180921052631579,0.0355295619806093
loc182_pos43,FALSE,311,0,0,1,0,0
loc183_pos107,FALSE,275,6,0.0218181818181818,0.989090909090909,0.0109090909090909,0.0215801652892561
loc189_pos9,FALSE,271,1,0.003690036900369,0.998154981549816,0.00184501845018448,0.00368322871420591
loc191_pos6,FALSE,261,108,0.413793103448276,0.53639846743295,0.46360153256705,0.497350303137065
loc192_pos17,FALSE,269,40,0.148698884758364,0.9182156133829,0.0817843866171004,0.15019140144553
loc194_pos124,FALSE,266,102,0.383458646616541,0.556390977443609,0.443609022556391,0.493640115325909
loc195_pos36,FALSE,262,1,0.00381679389312977,0.998091603053435,0.00190839694656486,0.00380950993531841
loc196_pos4,FALSE,262,1,0.00381679389312977,0.998091603053435,0.00190839694656486,0.00380950993531841
loc197_pos136,FALSE,274,1,0.00364963503649635,0.998175182481752,0.00182481751824815,0.00364297511854648
loc199_pos18,FALSE,295,13,0.0440677966101695,0.977966101694915,0.0220338983050847,0.0430968112611318
loc201_pos4,TRUE,285,2,0.00701754385964912,0.991228070175439,0.00877192982456143,0.0173899661434288
loc204_pos61,FALSE,260,1,0.00384615384615385,0.998076923076923,0.00192307692307692,0.00383875739644969
loc210_pos11,FALSE,307,1,0.00325732899022801,0.998371335504886,0.00162866449511401,0.00325202389415272
loc213_pos10,FALSE,273,1,0.00366300366300366,0.998168498168498,0.00183150183150182,0.00365629486508606
loc214_pos2,FALSE,285,64,0.224561403508772,0.168421052631579,0.831578947368421,0.2801108033241
loc217_pos6,FALSE,284,31,0.109154929577465,0.938380281690141,0.0616197183098591,0.115645457250545
loc220_pos99,FALSE,283,1,0.00353356890459364,0.998233215547703,0.00176678445229683,0.00352732584999191
loc223_pos11,FALSE,277,12,0.0433212996389892,0.0252707581227437,0.974729241877256,0.0492642938132909
loc226_pos47,FALSE,297,1,0.00336700336700337,0.998316498316498,0.00168350168350173,0.00336133501116676
loc227_pos69,FALSE,285,1,0.00350877192982456,0.998245614035088,0.00175438596491229,0.00350261618959681
loc229_pos54,FALSE,289,1,0.00346020761245675,0.998269896193772,0.0017301038062284,0.00345422109409615
loc233_pos2,FALSE,306,1,0.00326797385620915,0.998366013071895,0.00163398692810457,0.00326263402964671
loc235_pos120,FALSE,307,0,0,1,0,0
loc237_pos4,FALSE,286,19,0.0664335664335664,0.0786713286713287,0.921328671328671,0.144964301432833
loc239_pos2,FALSE,263,2,0.00760456273764259,0.996197718631179,0.00380228136882133,0.00757564805042728
loc243_pos3,FALSE,295,1,0.00338983050847458,0.998305084745763,0.00169491525423726,0.00338408503303643
loc244_pos15,FALSE,304,1,0.00328947368421053,0.998355263157895,0.00164473684210531,0.00328406336565106
loc245_pos104,FALSE,308,2,0.00649350649350649,0.996753246753247,0.00324675324675328,0.00647242368021594
loc255_pos15,FALSE,288,1,0.00347222222222222,0.998263888888889,0.00173611111111116,0.00346619405864207
loc257_pos111,FALSE,268,1,0.00373134328358209,0.998134328358209,0.00186567164179108,0.00372438182223219
loc260_pos21,FALSE,280,1,0.00357142857142857,0.998214285714286,0.00178571428571428,0.00356505102040815
loc261_pos15,FALSE,293,5,0.0170648464163823,0.991467576791809,0.00853242320819114,0.0169192419247749
loc265_pos105,FALSE,273,2,0.00732600732600733,0.992673992673993,0.0073260073260073,0.0145446738853332
loc266_pos53,FALSE,301,1,0.00332225913621262,0.998338870431894,0.00166112956810627,0.00331674043332846
loc271_pos2,FALSE,286,0,0,0.996503496503496,0.00349650349650354,0.00696855591960497
loc272_pos95,FALSE,304,1,0.00328947368421053,0.998355263157895,0.00164473684210531,0.00328406336565106
loc273_pos56,FALSE,311,5,0.0160771704180064,0.982315112540193,0.0176848874598071,0.0347442644306822
loc274_pos15,FALSE,275,1,0.00363636363636364,0.998181818181818,0.00181818181818183,0.00362975206611573
loc277_pos27,FALSE,276,121,0.438405797101449,0.567028985507246,0.432971014492754,0.491014230203739
loc282_pos11,FALSE,288,1,0.00347222222222222,0.998263888888889,0.00173611111111116,0.00346619405864207
loc283_pos10,FALSE,260,1,0.00384615384615385,0.998076923076923,0.00192307692307692,0.00383875739644969
loc284_pos19,FALSE,259,1,0.00386100386100386,0.998069498069498,0.00193050193050193,0.00385355018559651
loc294_pos11,FALSE,309,14,0.0453074433656958,0.0258899676375405,0.97411003236246,0.0504393544265351
loc296_pos54,FALSE,283,1,0.00353356890459364,0.998233215547703,0.00176678445229683,0.00352732584999191
loc299_pos25,FALSE,282,72,0.25531914893617,0.187943262411348,0.812056737588652,0.305241185051054
loc301_pos100,FALSE,289,1,0.00346020761245675,0.998269896193772,0.0017301038062284,0.00345422109409615
loc303_pos25,FALSE,277,62,0.223826714801444,0.202166064981949,0.79783393501805,0.322589894303327
loc306_pos4,FALSE,293,1,0.00341296928327645,0.998293515358362,0.00170648464163825,0.00340714510361221
loc310_pos34,FALSE,269,86,0.319702602230483,0.286245353159851,0.713754646840149,0.408617901908487
loc311_pos49,FALSE,288,73,0.253472222222222,0.203125,0.796875,0.32373046875
loc312_pos3,FALSE,304,1,0.00328947368421053,0.998355263157895,0.00164473684210531,0.00328406336565106
loc315_pos15,FALSE,300,65,0.216666666666667,0.851666666666667,0.148333333333333,0.252661111111111
loc318_pos1,FALSE,292,1,0.00342465753424658,0.998287671232877,0.00171232876712324,0.00341879339463304
loc324_pos25,FALSE,289,1,0.00346020761245675,0.998269896193772,0.0017301038062284,0.00345422109409615
loc328_pos73,FALSE,275,0,0,1,0,0
loc334_pos8,FALSE,280,1,0.00357142857142857,0.998214285714286,0.00178571428571428,0.00356505102040815
loc336_pos104,FALSE,290,93,0.320689655172414,0.339655172413793,0.660344827586207,0.448579072532699
loc340_pos0,FALSE,286,0,0,1,0,0
loc341_pos3,FALSE,271,9,0.033210332103321,0.0239852398523985,0.976014760147601,0.0468198962432429
loc342_pos18,FALSE,313,1,0.00319488817891374,0.998402555910543,0.00159744408945683,0.00318978452367579
loc347_pos132,FALSE,293,1,0.00341296928327645,0.998293515358362,0.00170648464163825,0.00340714510361221
loc348_pos107,FALSE,290,95,0.327586206896552,0.646551724137931,0.353448275862069,0.4570451843044
loc351_pos69,FALSE,300,1,0.00333333333333333,0.998333333333333,0.0016666666666667,0.00332777777777785
loc353_pos94,FALSE,291,68,0.233676975945017,0.797250859106529,0.202749140893471,0.323283853520861
loc358_pos160,FALSE,287,1,0.00348432055749129,0.998257839721254,0.00174216027874563,0.00347825031261758
loc359_pos3,FALSE,293,0,0,1,0,0
loc361_pos50,FALSE,279,1,0.003584229390681,0.99820788530466,0.00179211469534046,0.00357780604051842
loc362_pos6,FALSE,307,1,0.00325732899022801,0.998371335504886,0.00162866449511401,0.00325202389415272
loc364_pos74,FALSE,275,24,0.0872727272727273,0.08,0.92,0.1472
loc365_pos5,FALSE,291,0,0,1,0,0
loc366_pos21,FALSE,267,1,0.00374531835205993,0.99812734082397,0.00187265917602997,0.0037383046472808
loc368_pos6,FALSE,269,0,0,1,0,0
loc369_pos11,FALSE,293,5,0.0170648464163823,0.991467576791809,0.00853242320819114,0.0169192419247749
loc370_pos120,FALSE,262,1,0.00381679389312977,0.998091603053435,0.00190839694656486,0.00380950993531841
loc371_pos69,FALSE,309,1,0.00323624595469256,0.998381877022654,0.00161812297734631,0.003231009310753
loc372_pos4,FALSE,292,7,0.023972602739726,0.98458904109589,0.0154109589041096,0.0303469224995309
loc374_pos36,FALSE,279,6,0.021505376344086,0.989247311827957,0.010752688172043,0.0212741357382356
loc376_pos102,FALSE,268,3,0.0111940298507463,0.990671641791045,0.00932835820895528,0.0184826798841614
loc378_pos11,FALSE,263,47,0.178707224334601,0.88403041825095,0.115969581749049,0.205041275716
loc381_pos1,FALSE,266,1,0.0037593984962406,0.99812030075188,0.00187969924812026,0.00375233195771375
loc383_pos26,FALSE,262,8,0.0305343511450382,0.984732824427481,0.0152671755725191,0.030068177845114
loc385_pos28,FALSE,308,1,0.00324675324675325,0.998376623376623,0.00162337662337664,0.00324148254343062
loc389_pos17,FALSE,303,1,0.0033003300330033,0.998349834983498,0.00165016501650161,0.00329488394383986
loc391_pos94,FALSE,277,99,0.357400722021661,0.525270758122744,0.474729241877256,0.498722777567804
loc393_pos6,FALSE,306,1,0.00326797385620915,0.998366013071895,0.00163398692810457,0.00326263402964671
loc395_pos35,FALSE,289,4,0.013840830449827,0.98961937716263,0.0103806228373703,0.0205457310137571
loc397_pos5,FALSE,268,1,0.00373134328358209,0.998134328358209,0.00186567164179108,0.00372438182223219
loc399_pos25,FALSE,307,13,0.0423452768729642,0.972312703583062,0.0276872964169381,0.0538414200681175
loc401_pos98,FALSE,301,1,0.00332225913621262,0.998338870431894,0.00166112956810627,0.00331674043332846
loc402_pos35,FALSE,270,112,0.414814814814815,0.540740740740741,0.459259259259259,0.496680384087791
loc404_pos3,FALSE,267,1,0.00374531835205993,0.99812734082397,0.00187265917602997,0.0037383046472808
loc405_pos32,FALSE,285,9,0.0315789473684211,0.980701754385965,0.019298245614035,0.0378516466605108
loc408_pos38,FALSE,267,1,0.00374531835205993,0.99812734082397,0.00187265917602997,0.0037383046472808
loc409_pos127,FALSE,296,2,0.00675675675675676,0.996621621621622,0.0033783783783784,0.00673392987582181
loc412_pos26,FALSE,300,16,0.0533333333333333,0.96,0.04,0.0768000000000001
loc413_pos3,FALSE,302,1,0.0033112582781457,0.998344370860927,0.0016556291390728,0.00330577606245331
loc416_pos10,FALSE,295,18,0.0610169491525424,0.96271186440678,0.0372881355932203,0.0717954610744038
loc420_pos19,FALSE,292,1,0.00342465753424658,0.998287671232877,0.00171232876712324,0.00341879339463304
loc423_pos51,FALSE,291,14,0.0481099656357388,0.969072164948454,0.0309278350515464,0.0599426081411415
loc425_pos21,FALSE,291,3,0.0103092783505155,0.994845360824742,0.00515463917525771,0.0102561377404612
loc429_pos12,FALSE,261,1,0.00383141762452107,0.99808429118774,0.00191570881226055,0.00382407774401436
loc431_pos27,FALSE,263,1,0.00380228136882129,0.998098859315589,0.00190114068441061,0.00379505269701737
loc433_pos48,FALSE,303,27,0.0891089108910891,0.938943894389439,0.0610561056105611,0.114656515156466
loc434_pos11,FALSE,270,1,0.0037037037037037,0.998148148148148,0.00185185185185188,0.00369684499314135
loc436_pos34,FALSE,263,4,0.0152091254752852,0.0190114068441065,0.980988593155893,0.0372999465078286
loc437_pos7,FALSE,299,0,0,1,0,0
loc442_pos13,FALSE,289,2,0.0069204152249135,0.996539792387543,0.0034602076124568,0.00689646915147099
loc445_pos7,FALSE,287,35,0.121951219512195,0.925087108013937,0.0749128919860628,0.138601901200695
loc448_pos10,FALSE,286,1,0.0034965034965035,0.998251748251748,0.00174825174825177,0.00349039072815301
loc450_pos1,FALSE,274,15,0.0547445255474453,0.958029197080292,0.041970802919708,0.0804185092439661
